country,species,female,male
Costa Rica,dobnos,26,18
El Salvador,dobnos,4,3
Guatemala,dobnos,1,1
Mexico,dobnos,52,25
Nicaragua,dobnos,0,1
USA,dobnos,3,1
Venezuela,dobnos,1,2
